epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1627.89,0.93522,0.85193,1.19666,0.82985,0.82238,0.86166,0.63803,0.86842,0.60381,1.06769,0.007228,0.007228,0.007228
44,3131.22,0.95391,0.88696,1.2092,0.83007,0.82269,0.86148,0.63829,0.86782,0.60324,1.06724,0.007162,0.007162,0.007162
45,4619.89,0.95396,0.8925,1.20955,0.83051,0.8231,0.86144,0.63896,0.8672,0.6025,1.06699,0.007096,0.007096,0.007096
46,6102.83,0.95879,0.8931,1.21382,0.83187,0.82195,0.86151,0.63882,0.86672,0.60201,1.06651,0.00703,0.00703,0.00703
47,7610.02,0.95803,0.89515,1.21317,0.83386,0.82145,0.86176,0.63879,0.86604,0.60109,1.06603,0.006964,0.006964,0.006964
48,9155.49,0.9552,0.8906,1.20943,0.83343,0.82281,0.86228,0.63926,0.86576,0.6001,1.06567,0.006898,0.006898,0.006898
49,10726.4,0.94958,0.88545,1.20724,0.83435,0.82234,0.86271,0.63981,0.86533,0.59928,1.06508,0.006832,0.006832,0.006832
50,12302.1,0.95173,0.886,1.20634,0.83189,0.8253,0.8631,0.6404,0.86478,0.59882,1.0645,0.006766,0.006766,0.006766
51,13893.5,0.94574,0.87893,1.20192,0.83176,0.82699,0.86345,0.64092,0.864,0.59892,1.0636,0.0067,0.0067,0.0067
52,15395.7,0.94968,0.88223,1.20585,0.83208,0.82744,0.86397,0.6417,0.86371,0.59799,1.06322,0.006634,0.006634,0.006634
53,16895.7,0.94546,0.87419,1.20471,0.83093,0.82831,0.86433,0.64206,0.86339,0.59697,1.0629,0.006568,0.006568,0.006568
54,18422.8,0.93887,0.86705,1.19953,0.83094,0.82799,0.865,0.6431,0.86257,0.59626,1.06244,0.006502,0.006502,0.006502
55,19944.5,0.9417,0.86499,1.19949,0.83154,0.82821,0.86553,0.64357,0.86175,0.59509,1.0617,0.006436,0.006436,0.006436
56,21516,0.93846,0.85869,1.19767,0.83169,0.82811,0.86565,0.64404,0.86045,0.59406,1.06057,0.00637,0.00637,0.00637
